sample_rank,repo_id,repo_name,year,observation_status,observation_end,created_at,llm_native_manual,llm_native_confidence,collaboration_niche,agent_proximity,language,first_event_at,last_event_at,event_rows,event_rows_from_api,active_actors,push_events,push_commits,issues_opened,issues_closed,issues_reopened,issues_opened_author_missing,issues_opened_by_bot,issues_opened_by_human,issues_opened_by_external,issue_median_close_days,issues_closed_with_duration,prs_opened,pr_events_from_api,prs_merged,prs_closed_unmerged,prs_reopened,prs_opened_author_missing,prs_opened_by_bot,prs_opened_by_human,prs_opened_by_external,pr_median_merge_days,prs_merged_with_duration,pr_median_close_unmerged_days,prs_closed_unmerged_with_duration,issue_pr_comment_events,comment_events_author_missing,comment_events_by_bot,comment_events_by_human,pr_review_events,reviews_approved,reviews_changes_requested,review_events_by_maintainer,pr_review_comment_events,review_comment_events_author_missing,review_comment_events_by_bot,review_comment_events_by_human,non_human_public_events,human_public_events,source,quality_flag
10,965415649,openai/codex,2023,not_public_yet,2023-12-31,2025-04-13,llm_native,high,agent_application,direct_agent_experience,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
10,965415649,openai/codex,2024,not_public_yet,2024-12-31,2025-04-13,llm_native,high,agent_application,direct_agent_experience,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
10,965415649,openai/codex,2025,observed,2025-12-31,2025-04-13,llm_native,high,agent_application,direct_agent_experience,Rust,2025-04-16 16:59:21,2025-12-31 23:29:37,84293,3509,45641,8849,18410,2766,1456,36,0,1,2766,2745,5.95,1454,2733,2734,1707,1011,30,569,1190,2095,1122,0.1,1046,4.91,950,11719,0,1325,10394,3860,1211,160,1574,3757,0,491,3266,3032,18521,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
10,965415649,openai/codex,2026,observed,2026-08-29,2025-04-13,llm_native,high,agent_application,direct_agent_experience,Rust,2026-01-01 00:05:41,2026-08-28 12:41:22,60457,3540,12903,22185,0,2337,1156,40,0,4,2333,2333,1.75,1150,1450,2793,910,636,19,1450,1381,0,0,,0,4.11,493,8369,0,1487,6882,3725,994,42,0,3241,0,1139,2102,4011,11317,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
11,658928958,ollama/ollama,2022,not_public_yet,2022-12-31,2023-06-26,llm_native,high,model_infra,supporting_infrastructure,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
11,658928958,ollama/ollama,2023,observed,2023-12-31,2023-06-26,llm_native,high,model_infra,supporting_infrastructure,Go,2023-06-27 19:29:54,2023-12-31 23:33:28,44437,3062,29340,2195,9617,1008,670,25,0,795,933,828,2.35,670,741,1407,562,112,4,0,696,687,222,0.18,503,3.52,112,3926,0,20,3906,1673,677,8,1539,1202,0,0,1202,1511,6960,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_merge_duration_incomplete
11,658928958,ollama/ollama,2024,observed,2024-12-31,2023-06-26,llm_native,high,model_infra,supporting_infrastructure,Go,2024-01-01 00:11:55,2024-12-31 23:46:02,128447,1123,83367,4323,216441,4415,3475,118,0,196,4329,4251,5.48,3475,2029,382,1256,563,18,0,121,2010,1424,0.46,1243,27.86,563,24822,0,0,24822,3871,1449,16,2214,2672,0,0,2672,317,33973,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
11,658928958,ollama/ollama,2025,observed,2025-12-31,2023-06-26,llm_native,high,model_infra,supporting_infrastructure,Go,2025-01-01 00:05:28,2025-12-31 23:33:10,82282,2832,54301,2648,10027,3684,2385,50,0,722,2962,2938,2.94,2385,1607,1278,923,365,20,144,650,1060,836,0.6,545,6.24,356,16542,0,0,16542,2161,770,13,892,1724,0,57,1667,1429,22231,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_merge_duration_incomplete
11,658928958,ollama/ollama,2026,observed,2026-08-29,2023-06-26,llm_native,high,model_infra,supporting_infrastructure,Go,2026-01-01 00:13:47,2026-08-28 05:52:38,13544,5077,6734,775,0,1830,1033,4,0,1436,394,394,1.39,1032,1698,2512,578,359,3,280,1582,0,0,,0,7.84,344,1675,0,4,1671,260,119,2,0,156,0,22,134,3044,2199,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
12,1027384981,langchain-ai/deepagents,2022,not_public_yet,2022-12-31,2025-07-27,llm_native,high,agent_framework,agent_building,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
12,1027384981,langchain-ai/deepagents,2023,not_public_yet,2023-12-31,2025-07-27,llm_native,high,agent_framework,agent_building,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
12,1027384981,langchain-ai/deepagents,2024,not_public_yet,2024-12-31,2025-07-27,llm_native,high,agent_framework,agent_building,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
12,1027384981,langchain-ai/deepagents,2025,observed,2025-12-31,2025-07-27,llm_native,high,agent_framework,agent_building,Python,2025-07-27 23:10:28,2025-12-31 18:03:32,8245,2770,4245,380,91,239,134,3,0,109,143,141,2.56,134,398,711,239,88,3,118,373,64,50,0.1,29,1.89,87,285,0,0,285,139,29,8,26,112,0,12,100,2326,592,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
12,1027384981,langchain-ai/deepagents,2026,observed,2026-08-29,2025-07-27,llm_native,high,agent_framework,agent_building,Python,2026-01-01 03:21:00,2026-08-28 03:28:12,39923,23597,4125,7518,0,749,568,2,0,549,200,201,11.8,565,3328,6603,2573,742,11,492,3306,0,0,,0,0.76,718,474,0,72,402,321,63,14,0,275,0,94,181,11305,783,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
13,975734319,anomalyco/opencode,2022,not_public_yet,2022-12-31,2025-04-30,llm_native,high,agent_application,direct_agent_experience,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
13,975734319,anomalyco/opencode,2023,not_public_yet,2023-12-31,2025-04-30,llm_native,high,agent_application,direct_agent_experience,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
13,975734319,anomalyco/opencode,2024,not_public_yet,2024-12-31,2025-04-30,llm_native,high,agent_application,direct_agent_experience,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
13,975734319,anomalyco/opencode,2025,observed,2025-12-31,2025-04-30,llm_native,high,agent_application,direct_agent_experience,TypeScript,2025-05-12 17:53:27,2025-12-31 23:58:51,49602,2325,26526,4113,4833,2677,1332,37,0,0,2677,2645,1.82,1325,1300,1569,751,357,22,521,807,774,658,0.09,342,2.37,309,10157,0,880,9277,499,58,5,29,480,0,182,298,1871,13026,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
13,975734319,anomalyco/opencode,2026,observed,2026-08-29,2025-04-30,llm_native,high,agent_application,direct_agent_experience,TypeScript,2026-01-01 00:01:03,2026-08-28 14:04:32,89695,5704,43167,8881,0,4165,2203,30,0,6,4159,4162,9,2196,2194,4346,745,1805,42,2192,2058,0,0,,0,35.75,1528,14393,0,6418,7975,731,30,5,0,907,0,530,377,9012,12512,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
14,669331976,flashinfer-ai/flashinfer,2022,not_public_yet,2022-12-31,2023-07-22,llm_native,high,model_infra,supporting_infrastructure,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
14,669331976,flashinfer-ai/flashinfer,2023,observed,2023-12-31,2023-07-22,llm_native,high,model_infra,supporting_infrastructure,Python,2023-09-11 04:05:44,2023-12-31 03:21:00,376,20,134,147,175,2,0,0,0,0,2,0,,0,32,20,32,0,0,0,10,22,4,0.01,22,,0,6,0,0,6,11,10,0,11,4,0,0,4,10,34,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_merge_duration_incomplete
14,669331976,flashinfer-ai/flashinfer,2024,observed,2024-12-31,2023-07-22,llm_native,high,model_infra,supporting_infrastructure,Python,2024-01-01 01:57:42,2024-12-31 21:24:44,5322,40,1606,1335,13180,157,106,0,0,3,154,130,6.27,106,514,23,459,23,1,0,18,496,114,0,456,4.86,23,708,0,11,697,238,109,0,192,160,0,0,160,32,1507,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
